"","zip","lat","long"
"1",10001,40.75037,-73.99674
"2",10002,40.72199,-73.99
"3",10003,40.73097,-73.98841
"4",10004,40.68834,-74.02002
"5",10005,40.7055,-74.00816
"6",10006,40.70754,-74.01292
"7",10007,40.71425,-74.00787
"8",10009,40.72664,-73.98013
"9",10010,40.73768,-73.98282
"10",10011,40.74114,-74.00104
"11",10012,40.72533,-73.99797
"12",10013,40.72102,-74.00533
"13",10014,40.73412,-74.00711
"14",10016,40.74436,-73.9779
"15",10017,40.75232,-73.97234
"16",10018,40.75492,-73.99432
"17",10019,40.76576,-73.98917
"18",10020,40.75865,-73.9792
"19",10021,40.76784,-73.95951
"20",10022,40.7584,-73.96798
"21",10023,40.77635,-73.98485
"22",10024,40.79873,-73.97453
"23",10025,40.79866,-73.96765
"24",10026,40.80408,-73.95284
"25",10027,40.81288,-73.953
"26",10028,40.77599,-73.95274
"27",10029,40.79161,-73.94331
"28",10030,40.81847,-73.94236
"29",10031,40.82688,-73.9493
"30",10032,40.83901,-73.94217
"31",10033,40.85597,-73.93931
"32",10034,40.8691,-73.92047
"33",10035,40.79533,-73.93037
"34",10036,40.75916,-73.98968
"35",10037,40.81377,-73.93755
"36",10038,40.70826,-74.00328
"37",10039,40.82768,-73.93809
"38",10040,40.85685,-73.92739
"39",10044,40.7616,-73.95018
"40",10128,40.78155,-73.95123
"41",10280,40.70913,-74.01652
"42",10301,40.62456,-74.09461
"43",10302,40.62926,-74.13831
"44",10303,40.63218,-74.16822
"45",10304,40.608,-74.09349
"46",10305,40.59358,-74.07746
"47",10306,40.55944,-74.11909
"48",10307,40.50877,-74.24193
"49",10308,40.55298,-74.14961
"50",10309,40.53121,-74.2177
"51",10310,40.63384,-74.11064
"52",10312,40.54162,-74.17513
"53",10314,40.59606,-74.16103
"54",10451,40.81899,-73.92106
"55",10452,40.83707,-73.92242
"56",10453,40.85374,-73.91364
"57",10454,40.80549,-73.917
"58",10455,40.81366,-73.90835
"59",10456,40.82889,-73.9082
"60",10457,40.84651,-73.89844
"61",10458,40.86505,-73.88683
"62",10459,40.82581,-73.89247
"63",10460,40.8438,-73.87998
"64",10461,40.84532,-73.84375
"65",10462,40.84741,-73.8588
"66",10463,40.87941,-73.90573
"67",10464,40.86277,-73.79383
"68",10465,40.83255,-73.81618
"69",10466,40.89181,-73.84465
"70",10467,40.87655,-73.87151
"71",10468,40.87014,-73.90033
"72",10469,40.8698,-73.84407
"73",10470,40.9023,-73.87259
"74",10471,40.89891,-73.89914
"75",10472,40.82996,-73.86464
"76",10473,40.81625,-73.86218
"77",10474,40.80412,-73.8845
"78",10475,40.87383,-73.82707
"79",11001,40.72355,-73.70711
"80",11003,40.69903,-73.70507
"81",11004,40.7462,-73.71174
"82",11005,40.75462,-73.71395
"83",11010,40.70017,-73.67377
"84",11020,40.77231,-73.71106
"85",11021,40.7869,-73.72792
"86",11023,40.7966,-73.73354
"87",11024,40.81782,-73.73878
"88",11030,40.79389,-73.68598
"89",11040,40.7437,-73.68112
"90",11042,40.75779,-73.69979
"91",11050,40.8358,-73.69382
"92",11096,40.62004,-73.75555
"93",11101,40.7454,-73.93615
"94",11102,40.771,-73.92605
"95",11103,40.76202,-73.91192
"96",11104,40.74345,-73.91846
"97",11105,40.7792,-73.90985
"98",11106,40.76225,-73.93164
"99",11109,40.74415,-73.95773
"100",11201,40.69421,-73.99065
"101",11203,40.64938,-73.93368
"102",11204,40.62132,-73.98644
"103",11205,40.693,-73.96495
"104",11206,40.70216,-73.94257
"105",11207,40.67111,-73.89654
"106",11208,40.67475,-73.87289
"107",11209,40.624,-74.0293
"108",11210,40.62505,-73.94575
"109",11211,40.7115,-73.94624
"110",11212,40.66422,-73.91565
"111",11213,40.67153,-73.93635
"112",11214,40.59732,-74.0013
"113",11215,40.6653,-73.98005
"114",11216,40.68083,-73.94764
"115",11217,40.68125,-73.98108
"116",11218,40.6445,-73.97811
"117",11219,40.6333,-73.99674
"118",11220,40.64066,-74.01743
"119",11221,40.69249,-73.92719
"120",11222,40.72867,-73.94482
"121",11223,40.59626,-73.97425
"122",11224,40.57744,-73.98621
"123",11225,40.66319,-73.95268
"124",11226,40.64529,-73.95844
"125",11228,40.61679,-74.01652
"126",11229,40.60123,-73.94023
"127",11230,40.62274,-73.96666
"128",11231,40.67636,-74.00409
"129",11232,40.65716,-74.00251
"130",11233,40.67657,-73.92052
"131",11234,40.60976,-73.91057
"132",11235,40.58472,-73.93987
"133",11236,40.63982,-73.89872
"134",11237,40.70256,-73.9184
"135",11238,40.67614,-73.96448
"136",11239,40.64682,-73.87425
"137",11251,40.70326,-73.97181
"138",11354,40.76702,-73.82699
"139",11355,40.75053,-73.8225
"140",11356,40.78425,-73.84253
"141",11357,40.78723,-73.81093
"142",11358,40.76151,-73.79459
"143",11359,40.7917,-73.77633
"144",11360,40.78072,-73.77913
"145",11361,40.76372,-73.77048
"146",11362,40.7577,-73.73487
"147",11363,40.77318,-73.74481
"148",11364,40.74708,-73.75728
"149",11365,40.73943,-73.79397
"150",11366,40.72787,-73.79053
"151",11367,40.72908,-73.82725
"152",11368,40.75205,-73.85337
"153",11369,40.76344,-73.8712
"154",11370,40.76525,-73.89172
"155",11371,40.77556,-73.87078
"156",11372,40.75146,-73.88307
"157",11373,40.73542,-73.87787
"158",11374,40.7236,-73.86251
"159",11375,40.72292,-73.84198
"160",11377,40.74767,-73.90626
"161",11378,40.72381,-73.90858
"162",11379,40.71692,-73.88033
"163",11385,40.69801,-73.88049
"164",11411,40.69473,-73.73715
"165",11412,40.69645,-73.76016
"166",11413,40.66547,-73.74984
"167",11414,40.6592,-73.84501
"168",11415,40.70784,-73.82999
"169",11416,40.68499,-73.85069
"170",11417,40.67582,-73.84702
"171",11418,40.69924,-73.83176
"172",11419,40.68812,-73.82312
"173",11420,40.67368,-73.81773
"174",11421,40.69172,-73.85683
"175",11422,40.66055,-73.73792
"176",11423,40.71841,-73.76706
"177",11426,40.73859,-73.72583
"178",11427,40.72843,-73.75039
"179",11428,40.72152,-73.74267
"180",11429,40.71095,-73.74014
"181",11430,40.64397,-73.78855
"182",11432,40.71548,-73.79289
"183",11433,40.69745,-73.78698
"184",11434,40.67622,-73.7752
"185",11435,40.70073,-73.80995
"186",11436,40.67646,-73.79686
"187",11451,40.70095,-73.80008
"188",11691,40.60124,-73.76363
"189",11692,40.59511,-73.79679
"190",11693,40.61066,-73.82283
"191",11694,40.57531,-73.8513
"192",11697,40.55641,-73.9099
